NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana da Zona da Mata;total;47;26;49;30;29;41;24;49;30;44;53;65;51;46;38;63;54;50;44;29;40
Região Metropolitana da Serra Gaúcha;total;121;153;157;194;141;158;155;134;148;162;170;170;151;149;131;116;111;142;102;126;94
Região Metropolitana da Grande Vitória;total;397;391;455;423;409;402;392;436;439;390;438;422;402;392;338;278;277;300;261;262;260
Região Metropolitana da Grande São Luís;total;118;182;214;214;231;260;254;297;349;314;357;360;394;327;332;317;293;248;251;256;259
Região Metropolitana da Foz do Rio Itajaí;total;133;127;148;146;179;132;157;172;166;186;149;160;155;158;146;106;109;138;106;140;119
Região Metropolitana da Capital;total;83;99;117;61;49;86;93;115;102;103;110;114;120;128;112;128;90;111;68;97;105
Região Metropolitana da Baixada Santista;total;204;247;302;322;354;337;428;421;406;348;327;360;377;360;292;266;287;215;243;244;265
Região Metropolitana Carbonífera;total;119;154;148;174;191;144;146;163;147;140;130;144;123;114;141;97;111;111;97;90;95
Região Integrada de Desenvolvimento do Distrito Federal e Entorno;total;742;775;849;907;832;828;754;814;838;824;911;959;894;898;932;835;754;641;652;628;574
Região Integrada de Desenvolvimento da Grande Teresina;total;245;263;301;321;319;311;408;437;416;422;521;491;547;571;609;546;495;409;397;367;373
Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA;total;135;156;169;147;101;156;130;77;123;183;182;257;263;255;250;232;300;222;223;255;230
Aglomeração Urbana do Sul;total;128;117;101;134;117;128;100;131;150;125;144;138;142;132;124;125;101;106;96;100;75
Aglomeração Urbana do Litoral Norte;total;33;47;68;53;56;61;62;74;61;76;78;75;82;99;70;64;69;68;64;45;53
Aglomeração Urbana de Piracicaba-AU- Piracicaba;total;272;226;309;247;260;297;253;216;234;190;201;206;215;203;264;225;233;227;195;190;216
Aglomeração Urbana de Jundiaí;total;97;101;124;149;151;141;171;133;160;122;144;135;133;158;166;122;125;154;121;122;115
Aglomeração Urbana de Franca;total;122;103;160;128;138;156;117;126;139;124;127;120;87;74;97;69;87;100;92;83;90
Outros;total;11963;12077;13478;13379;14697;14800;14869;15722;16861;17090;19466;19773;21327;20366;20946;18850;18425;17859;16595;16346;16724
Região Metropolitana do Vale do Rio Cuiabá;pedestre;70;56;98;68;55;56;62;57;66;64;66;63;48;47;56;30;40;48;47;30;36
Região Metropolitana do Vale do Piancó;pedestre;3;3;2;0;1;1;1;0;2;1;0;2;1;2;4;2;2;1;2;1;1
Região Metropolitana do Vale do Paraíba e Litoral Norte;pedestre;172;163;136;158;148;127;131;114;130;115;111;107;122;84;93;81;78;86;58;65;67
Região Metropolitana do Vale do Paraíba;pedestre;15;9;5;5;3;8;6;7;4;3;3;3;6;2;3;2;0;1;3;2;0
Região Metropolitana do Vale do Mamanguape;pedestre;0;3;1;0;4;4;2;8;5;1;6;3;4;7;2;3;11;5;2;4;2
Região Metropolitana do Vale do Itajaí;pedestre;41;28;34;24;30;37;37;34;36;50;35;38;35;29;32;26;32;24;14;26;16
Região Metropolitana do Vale do Aço;pedestre;17;7;16;13;15;10;7;1;13;13;14;21;12;13;19;29;23;23;21;26;16
Região Metropolitana do Sul do Estado;pedestre;3;1;0;0;1;1;3;2;2;2;3;0;1;0;1;2;1;3;2;5;1
Região Metropolitana do Sudoeste Maranhense;pedestre;0;2;3;2;13;23;21;12;6;7;8;33;41;33;36;17;28;19;27;67;40
Região Metropolitana do Sertão;pedestre;1;7;5;5;7;9;3;6;2;8;6;4;3;2;0;4;1;2;3;8;4
Região Metropolitana do São Francisco;pedestre;8;6;7;11;12;5;6;2;0;8;4;1;1;0;0;0;1;2;3;4;3
Região Metropolitana do Rio de Janeiro;pedestre;1023;1071;1100;1067;1102;1031;1081;800;777;721;1027;903;805;675;740;561;377;484;621;249;460
Região Metropolitana do Recife;pedestre;323;278;320;300;330;309;315;252;264;279;299;205;203;190;231;199;189;202;202;188;177
Região Metropolitana do Norte/Nordeste Catarinense;pedestre;69;84;79;85;73;63;69;74;70;79;62;58;62;47;51;40;47;44;32;51;27
Região Metropolitana do Médio Sertão;pedestre;4;2;10;10;6;4;3;8;3;8;10;6;2;2;0;2;0;4;4;5;4
Região Metropolitana do Extremo Oeste;pedestre;7;13;13;13;4;10;17;27;9;13;11;8;7;11;8;11;13;5;6;6;11
Região Metropolitana do Contestado;pedestre;18;21;32;19;37;23;17;13;21;18;19;20;17;8;9;13;12;7;21;14;12
Região Metropolitana do Cariri;pedestre;43;38;59;49;53;78;55;49;42;30;16;7;2;27;21;10;9;20;26;24;15
Região Metropolitana do Alto Vale do Itajaí;pedestre;13;18;14;20;16;16;11;15;15;16;18;18;17;8;9;11;9;10;8;11;12
Região Metropolitana do Agreste;pedestre;36;31;36;32;46;62;50;47;40;58;50;34;26;27;12;12;21;28;24;23;32
Região Metropolitana de Umuarama;pedestre;15;13;15;22;22;20;15;20;19;17;12;18;14;16;12;16;6;9;12;13;7
Região Metropolitana de Tubarão;pedestre;7;6;15;18;22;26;13;22;20;14;23;18;22;16;20;10;14;13;13;22;14
Região Metropolitana de Toledo;pedestre;15;20;22;15;24;13;17;9;17;10;11;7;19;16;15;13;18;10;9;8;18
Região Metropolitana de Sousa;pedestre;1;1;1;1;3;0;1;1;1;2;3;2;3;2;2;2;0;2;0;2;0
Região Metropolitana de Sorocaba;pedestre;49;100;128;106;118;92;122;126;129;93;115;109;106;116;113;79;66;91;92;87;76
Região Metropolitana de Sobral;pedestre;21;32;22;30;35;30;35;51;31;25;48;30;29;37;46;41;35;38;34;44;39
Região Metropolitana de São Paulo;pedestre;590;1138;703;1103;1086;1137;1147;1109;1056;1050;1006;1045;955;861;922;772;644;563;385;572;399
Região Metropolitana de Santarém;pedestre;0;0;1;7;5;3;3;0;4;2;5;1;4;0;4;2;6;17;0;14;11
