NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana da Baixada Santista;total;79;88;107;108;128;142;153;157;172;139;125;146;172;129;115;122;123;94;111;120;138
Região Metropolitana Carbonífera;total;3;8;7;6;11;4;3;11;7;14;6;12;5;4;7;5;7;9;7;4;10
Região Integrada de Desenvolvimento do Distrito Federal e Entorno;total;536;584;631;671;576;625;556;608;654;651;718;732;722;735;713;600;562;443;445;447;401
Região Integrada de Desenvolvimento da Grande Teresina;total;158;179;215;240;239;224;325;345;318;339;395;389;431;432;466;445;420;343;323;307;312
Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA;total;63;56;99;89;45;94;79;46;92;139;147;224;230;220;217;214;280;205;205;239;209
Aglomeração Urbana do Sul;total;20;17;4;14;13;13;17;22;17;20;17;21;18;16;20;16;11;19;14;14;14
Aglomeração Urbana do Litoral Norte;total;0;2;2;4;0;1;4;8;4;1;7;13;3;7;4;4;8;4;5;1;9
Aglomeração Urbana de Piracicaba-AU- Piracicaba;total;25;25;37;40;33;54;45;35;38;42;44;45;53;40;52;70;50;62;49;60;73
Aglomeração Urbana de Jundiaí;total;6;13;23;28;35;25;24;34;35;17;25;30;23;21;33;29;25;40;28;41;32
Aglomeração Urbana de Franca;total;18;10;21;17;28;22;18;23;21;19;14;17;13;11;26;12;26;24;30;25;37
Outros;total;3843;3949;4908;5064;5745;6059;6217;6984;7798;8156;9796;9980;11265;11066;11673;10739;10669;10401;9605;9724;10212
Região Metropolitana do Vale do Rio Cuiabá;pedestre;44;38;53;42;32;39;42;40;47;46;45;45;34;30;42;17;29;36;40;23;25
Região Metropolitana do Vale do Piancó;pedestre;1;2;0;0;0;1;1;0;2;1;0;1;1;2;4;1;1;1;2;1;1
Região Metropolitana do Vale do Paraíba e Litoral Norte;pedestre;27;33;32;33;29;31;30;35;43;31;22;21;44;27;22;21;16;22;19;24;27
Região Metropolitana do Vale do Paraíba;pedestre;8;9;2;3;1;6;6;3;4;3;2;2;6;2;3;2;0;1;3;2;0
Região Metropolitana do Vale do Mamanguape;pedestre;0;2;1;0;4;3;2;7;5;1;3;3;2;7;2;2;10;5;2;3;2
Região Metropolitana do Vale do Itajaí;pedestre;3;1;0;1;0;2;1;1;2;3;2;2;2;0;2;3;6;3;1;1;4
Região Metropolitana do Vale do Aço;pedestre;5;1;3;1;2;3;2;0;3;1;6;6;4;8;15;13;16;14;12;20;10
Região Metropolitana do Sul do Estado;pedestre;3;1;0;0;1;1;3;2;1;2;2;0;1;0;0;2;1;3;2;2;1
Região Metropolitana do Sudoeste Maranhense;pedestre;0;2;2;1;13;19;14;8;5;6;6;30;32;29;31;16;24;19;25;56;38
Região Metropolitana do Sertão;pedestre;1;4;4;2;5;8;3;6;2;6;5;2;2;2;0;4;1;1;3;7;3
Região Metropolitana do São Francisco;pedestre;5;4;6;10;10;3;5;2;0;7;4;1;1;0;0;0;1;2;3;4;3
Região Metropolitana do Rio de Janeiro;pedestre;486;484;552;519;597;587;592;438;403;390;589;536;470;376;432;348;223;294;404;164;303
Região Metropolitana do Recife;pedestre;263;249;276;241;293;258;284;224;221;239;250;166;174;145;168;150;144;158;146;139;124
Região Metropolitana do Norte/Nordeste Catarinense;pedestre;3;5;6;3;3;6;5;4;4;8;5;14;8;1;7;6;8;9;12;12;5
Região Metropolitana do Médio Sertão;pedestre;3;1;6;10;3;3;3;4;3;8;9;4;2;1;0;2;0;4;4;5;4
Região Metropolitana do Extremo Oeste;pedestre;2;2;2;0;0;2;0;1;2;2;4;1;2;0;0;3;2;3;1;2;0
Região Metropolitana do Contestado;pedestre;3;7;3;4;5;0;2;1;3;3;2;5;4;1;3;2;1;3;5;3;4
Região Metropolitana do Cariri;pedestre;24;30;19;18;33;49;29;29;29;26;13;5;1;19;18;9;8;15;23;20;13
Região Metropolitana do Alto Vale do Itajaí;pedestre;0;2;0;1;3;0;3;1;1;5;0;2;3;0;0;3;0;2;1;1;3
Região Metropolitana do Agreste;pedestre;21;18;27;27;34;52;41;35;35;50;47;28;24;21;10;10;19;28;22;21;30
Região Metropolitana de Umuarama;pedestre;3;2;3;4;9;3;3;3;2;3;2;3;1;6;3;6;4;3;5;2;4
Região Metropolitana de Tubarão;pedestre;1;0;1;0;1;5;0;0;1;2;3;3;2;0;3;2;0;3;0;2;3
Região Metropolitana de Toledo;pedestre;4;4;4;1;4;2;3;2;4;0;2;2;4;2;4;5;7;5;1;3;5
Região Metropolitana de Sousa;pedestre;1;0;0;0;1;0;0;1;1;1;1;1;2;1;2;2;0;2;0;2;0
Região Metropolitana de Sorocaba;pedestre;7;16;29;23;18;20;25;25;26;18;26;33;33;30;27;20;17;24;26;24;18
Região Metropolitana de Sobral;pedestre;3;3;8;14;14;14;25;33;23;18;30;23;23;31;32;31;28;30;27;30;36
Região Metropolitana de São Paulo;pedestre;201;377;255;334;341;396;398;420;372;371;395;398;372;364;426;321;277;254;204;274;194
Região Metropolitana de Santarém;pedestre;0;0;1;5;3;3;2;0;4;2;5;1;3;0;3;1;4;17;0;13;11
Região Metropolitana de Salvador;pedestre;30;65;79;88;59;200;191;175;69;69;207;182;177;150;146;111;94;89;62;61;58
Região Metropolitana de Ribeirão Preto;pedestre;10;10;17;8;10;11;11;13;10;19;19;15;7;15;13;13;21;13;22;15;14
Região Metropolitana de Porto Velho;pedestre;0;2;9;7;2;2;9;7;1;14;15;8;11;16;11;21;17;6;15;8;14
Região Metropolitana de Porto Alegre;pedestre;29;31;31;25;31;35;31;15;33;26;31;18;14;26;21;26;13;16;22;35;14
Região Metropolitana de Patos;pedestre;2;2;3;0;3;4;2;1;2;1;0;1;1;2;6;3;1;4;4;3;5
Região Metropolitana de Palmeira dos Índios;pedestre;1;1;0;2;0;1;0;0;1;2;2;0;0;0;0;0;0;1;1;0;1
Região Metropolitana de Palmas;pedestre;11;13;9;10;16;10;11;11;16;16;11;10;17;12;16;10;8;12;12;7;14
Região Metropolitana de Natal;pedestre;55;42;43;41;39;29;19;27;22;22;37;41;26;33;24;28;22;37;22;22;19
Região Metropolitana de Maringá;pedestre;14;7;17;12;11;12;10;16;9;11;10;9;15;14;8;10;7;11;11;9;13
Região Metropolitana de Manaus;pedestre;126;101;104;115;109;109;130;115;108;105;152;163;124;129;109;115;102;84;112;92;83
Região Metropolitana de Maceió;pedestre;130;160;122;56;73;73;72;72;47;48;34;52;53;40;30;22;9;31;24;22;33
Região Metropolitana de Macapá;pedestre;21;85;67;79;58;81;50;0;5;0;1;3;8;7;21;10;14;19;18;9;7
Região Metropolitana de Londrina;pedestre;12;13;12;9;15;12;17;11;9;10;11;15;12;8;11;11;9;15;4;13;15
Região Metropolitana de Lages;pedestre;1;2;0;1;1;2;2;1;2;1;2;4;4;2;2;3;3;4;6;1;4
Região Metropolitana de João Pessoa;pedestre;28;36;80;74;53;77;65;69;79;46;56;49;69;54;44;46;43;57;47;53;26
Região Metropolitana de Itabaiana;pedestre;0;1;5;0;2;3;3;7;1;1;2;3;1;2;2;0;1;1;1;0;0
Região Metropolitana de Gurupi;pedestre;1;4;3;4;2;3;5;6;11;7;15;6;9;6;6;6;1;3;7;3;3
Região Metropolitana de Guarabira;pedestre;2;7;3;1;5;2;3;3;3;4;1;3;3;1;5;0;8;3;0;2;0
Região Metropolitana de Goiânia;pedestre;48;52;49;45;54;94;63;69;84;63;95;84;106;89;97;67;63;80;59;68;62
Região Metropolitana de Fortaleza;pedestre;146;143;120;129;125;113;150;243;158;141;203;140;110;122;95;96;84;161;125;106;63
Região Metropolitana de Florianópolis;pedestre;15;14;8;10;4;8;15;10;7;2;10;9;5;6;8;8;9;8;3;11;8
Região Metropolitana de Feira de Santana;pedestre;16;14;12;4;7;18;16;28;23;17;29;17;13;15;9;4;3;1;6;3;3
Região Metropolitana de Esperança;pedestre;1;0;2;3;1;5;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Região Metropolitana de Curitiba;pedestre;17;14;12;12;11;28;14;24;20;13;14;12;19;17;18;14;11;30;13;26;25
Região Metropolitana de Chapecó;pedestre;3;2;2;0;2;2;1;1;6;3;2;1;2;0;1;2;2;5;1;4;2
Região Metropolitana de Central;pedestre;0;1;2;0;0;0;0;0;0;1;0;1;0;0;2;0;1;0;2;1;2
Região Metropolitana de Cascavel;pedestre;6;6;6;4;7;4;3;5;4;5;1;3;7;6;8;3;1;4;3;4;7
Região Metropolitana de Campo Mourão;pedestre;1;0;3;3;4;1;3;3;1;5;9;5;9;11;2;9;6;10;1;7;3
Região Metropolitana de Campinas;pedestre;16;25;45;29;45;41;42;49;41;40;58;51;45;60;42;43;40;50;34;42;46
Região Metropolitana de Campina Grande;pedestre;5;39;34;5;0;0;1;0;2;1;1;0;0;0;1;0;0;0;0;1;0
Região Metropolitana de Cajazeiras;pedestre;1;0;2;1;0;1;0;0;1;2;1;2;2;1;4;3;4;3;0;3;1
Região Metropolitana de Caetés;pedestre;7;9;10;3;1;5;4;6;1;2;4;3;6;4;1;1;0;1;1;2;1
Região Metropolitana de Belo Horizonte;pedestre;187;223;214;202;218;223;244;231;224;205;231;197;189;164;182;132;136;149;119;109;107
Região Metropolitana de Belém;pedestre;193;176;264;281;232;267;261;220;251;218;346;352;368;323;201;255;113;226;125;95;107
Região Metropolitana de Barra de Santa Rosa;pedestre;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Região Metropolitana de Araruna;pedestre;1;0;0;0;1;3;1;0;1;0;0;0;0;2;0;1;1;1;0;0;0
Região Metropolitana de Aracaju;pedestre;28;37;43;45;42;38;42;32;51;50;60;51;45;52;55;49;27;33;26;27;23
Região Metropolitana de Apucarana;pedestre;10;5;3;2;6;1;4;5;5;3;3;5;5;10;4;5;5;5;2;7;6
Região Metropolitana da Zona da Mata;pedestre;14;12;21;4;4;6;4;14;7;9;5;5;6;4;4;2;2;6;3;0;3
Região Metropolitana da Serra Gaúcha;pedestre;1;2;0;0;4;6;3;3;1;5;2;1;6;3;0;3;2;3;2;1;2
Região Metropolitana da Grande Vitória;pedestre;78;73;84;85;79;69;70;82;91;67;83;90;84;84;61;53;52;51;55;60;41
Região Metropolitana da Grande São Luís;pedestre;39;61;90;65;82;88;73;71;60;63;89;65;77;34;32;29;43;55;16;23;48
Região Metropolitana da Foz do Rio Itajaí;pedestre;5;4;3;3;3;2;4;7;4;1;5;5;6;2;2;2;4;2;2;7;6
Região Metropolitana da Capital;pedestre;10;13;7;1;4;10;7;12;5;3;8;7;8;12;24;9;10;13;9;3;3
Região Metropolitana da Baixada Santista;pedestre;26;32;43;49;43;60;36;50;41;35;40;36;39;42;32;32;28;25;39;38;45
Região Metropolitana Carbonífera;pedestre;2;3;3;1;3;2;0;1;0;4;0;1;3;1;1;1;1;3;2;2;1
Região Integrada de Desenvolvimento do Distrito Federal e Entorno;pedestre;206;225;245;235;206;212;182;204;220;184;223;182;176;194;159;123;139;109;108;109;100
Região Integrada de Desenvolvimento da Grande Teresina;pedestre;38;46;50;64;63;56;65;59;80;68;71;63;54;60;59;55;40;38;48;39;32
Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA;pedestre;23;15;21;19;14;22;16;3;20;17;22;31;26;26;19;13;29;29;19;29;21
Aglomeração Urbana do Sul;pedestre;8;7;1;4;4;3;2;8;6;5;5;4;4;5;6;5;3;5;5;3;3
Aglomeração Urbana do Litoral Norte;pedestre;0;0;1;2;0;0;1;1;2;0;1;2;1;2;1;2;1;1;0;1;1
Aglomeração Urbana de Piracicaba-AU- Piracicaba;pedestre;6;6;14;19;11;18;20;16;20;12;12;18;15;11;15;11;11;18;9;19;17
Aglomeração Urbana de Jundiaí;pedestre;0;2;9;9;8;11;7;15;14;2;4;11;7;5;13;12;6;15;9;13;14
Aglomeração Urbana de Franca;pedestre;6;5;4;8;9;8;5;5;3;2;1;3;4;1;9;2;8;10;12;8;7
Outros;pedestre;1118;1138;1315;1355;1379;1353;1452;1448;1488;1403;1631;1470;1485;1432;1430;1208;1182;1121;1116;1185;986
Região Metropolitana do Vale do Rio Cuiabá;ciclista;7;4;6;7;8;6;6;6;7;7;3;10;4;8;8;6;8;9;9;9;6
Região Metropolitana do Vale do Piancó;ciclista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Região Metropolitana do Vale do Paraíba e Litoral Norte;ciclista;2;2;1;3;2;1;1;7;5;8;1;1;8;2;4;4;7;4;6;0;7
Região Metropolitana do Vale do Paraíba;ciclista;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Região Metropolitana do Vale do Mamanguape;ciclista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Região Metropolitana do Vale do Itajaí;ciclista;0;0;0;0;1;3;1;1;0;3;0;1;0;0;1;0;0;0;0;3;4
Região Metropolitana do Vale do Aço;ciclista;2;0;1;1;1;1;4;1;0;0;1;0;2;2;1;3;6;1;5;7;4
Região Metropolitana do Sul do Estado;ciclista;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0
Região Metropolitana do Sudoeste Maranhense;ciclista;0;0;1;2;2;3;3;3;1;0;0;5;16;11;4;8;7;8;5;11;7
Região Metropolitana do Sertão;ciclista;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Região Metropolitana do São Francisco;ciclista;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
Região Metropolitana do Rio de Janeiro;ciclista;5;3;14;21;21;24;25;34;35;34;35;10;15;15;21;16;11;21;7;12;8
Região Metropolitana do Recife;ciclista;13;18;14;11;8;14;17;20;12;13;13;17;24;7;16;28;14;30;24;29;30
Região Metropolitana do Norte/Nordeste Catarinense;ciclista;1;1;3;5;6;1;3;1;1;5;6;3;1;4;4;9;7;5;3;7;6
Região Metropolitana do Médio Sertão;ciclista;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1
Região Metropolitana do Extremo Oeste;ciclista;0;0;0;1;0;1;2;0;1;1;0;0;0;0;0;1;0;0;0;0;2
Região Metropolitana do Contestado;ciclista;0;0;0;0;0;1;0;2;0;2;2;0;1;0;1;1;0;0;2;0;1
Região Metropolitana do Cariri;ciclista;3;5;1;2;2;3;2;1;1;5;31;2;1;4;2;0;0;2;2;3;1
Região Metropolitana do Alto Vale do Itajaí;ciclista;1;1;0;1;2;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
Região Metropolitana do Agreste;ciclista;0;1;0;0;2;2;3;2;4;5;5;5;3;2;1;0;5;5;11;5;9
Região Metropolitana de Umuarama;ciclista;1;2;1;1;3;1;4;0;1;0;1;1;3;3;4;3;1;1;2;2;1
Região Metropolitana de Tubarão;ciclista;0;0;0;2;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;1;0
Região Metropolitana de Toledo;ciclista;2;1;2;4;2;0;2;2;2;2;4;0;1;1;2;1;3;4;2;2;4
Região Metropolitana de Sousa;ciclista;0;0;0;0;1;0;0;1;1;0;1;2;1;0;1;0;0;0;0;0;0
Região Metropolitana de Sorocaba;ciclista;0;3;3;1;1;3;6;2;7;2;4;8;2;9;4;2;2;1;5;5;4
Região Metropolitana de Sobral;ciclista;1;1;6;4;4;7;8;2;4;7;5;6;5;3;9;10;12;13;15;8;9
Região Metropolitana de São Paulo;ciclista;3;19;11;15;13;19;45;33;37;43;39;38;32;25;42;23;21;25;20;30;31
Região Metropolitana de Santarém;ciclista;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;1;1;0;0;2
Região Metropolitana de Salvador;ciclista;0;0;1;1;0;10;12;17;3;4;5;7;7;8;9;9;5;6;5;7;5
Região Metropolitana de Ribeirão Preto;ciclista;0;1;3;0;0;0;11;3;5;6;7;5;4;8;3;7;5;10;6;5;5
Região Metropolitana de Porto Velho;ciclista;0;0;5;5;2;2;7;1;8;2;4;6;4;13;5;5;4;5;6;5;11
Região Metropolitana de Porto Alegre;ciclista;0;0;3;4;2;2;3;2;4;1;1;2;4;4;8;1;4;3;2;2;3
Região Metropolitana de Patos;ciclista;0;0;0;0;0;0;0;1;1;1;2;4;1;1;1;0;0;0;0;2;1
Região Metropolitana de Palmeira dos Índios;ciclista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Região Metropolitana de Palmas;ciclista;4;5;14;11;3;5;7;7;6;10;4;2;6;7;2;3;5;5;2;6;7
Região Metropolitana de Natal;ciclista;2;6;4;5;3;5;3;2;5;1;6;8;2;4;3;5;8;7;3;2;5
Região Metropolitana de Maringá;ciclista;2;1;3;2;5;1;5;0;1;0;0;1;4;2;2;6;1;1;7;4;6
Região Metropolitana de Manaus;ciclista;8;4;2;5;2;4;2;0;5;1;5;6;4;3;1;3;2;10;5;8;4
Região Metropolitana de Maceió;ciclista;2;2;3;3;4;4;6;0;4;4;4;4;0;0;1;2;2;12;5;4;17
Região Metropolitana de Macapá;ciclista;1;0;3;0;3;3;2;0;2;0;0;0;1;1;13;12;7;12;4;9;5
Região Metropolitana de Londrina;ciclista;3;2;4;10;3;5;5;3;5;3;3;1;7;3;4;4;2;7;5;5;0
Região Metropolitana de Lages;ciclista;0;1;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Região Metropolitana de João Pessoa;ciclista;1;2;3;5;2;4;2;2;8;5;5;4;3;5;0;3;9;7;9;6;1
Região Metropolitana de Itabaiana;ciclista;0;0;2;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1
Região Metropolitana de Gurupi;ciclista;1;1;2;3;0;2;3;5;0;0;0;0;1;0;0;2;1;3;1;4;1
Região Metropolitana de Guarabira;ciclista;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;1;0;1
Região Metropolitana de Goiânia;ciclista;10;16;23;13;24;45;25;40;30;21;15;17;28;27;36;22;28;35;38;23;14
Região Metropolitana de Fortaleza;ciclista;13;20;10;9;4;7;15;15;4;0;0;2;0;3;1;5;12;16;20;11;14
Região Metropolitana de Florianópolis;ciclista;1;1;3;1;2;0;1;1;0;0;2;0;4;1;3;0;1;0;2;3;1
Região Metropolitana de Feira de Santana;ciclista;0;0;0;0;0;1;1;0;3;1;0;0;1;0;0;0;0;2;1;1;1
Região Metropolitana de Esperança;ciclista;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0
Região Metropolitana de Curitiba;ciclista;0;4;2;4;3;11;4;1;4;0;2;2;4;4;1;3;5;0;4;4;10
Região Metropolitana de Chapecó;ciclista;0;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;3;0
