UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MA;21;00477;Alto Alegre do Pindaré;4626;551;0;55;1;288;20;0;3;17;3473;186;13;0;8;1;0;0;0;0;0;10
MA;21;00501;Alto Parnaíba;3119;260;0;119;26;384;52;0;0;7;1646;502;14;0;27;65;0;0;0;0;0;17
MA;21;00550;Amapá do Maranhão;1034;160;0;22;2;74;9;0;0;3;669;76;5;0;4;6;0;0;0;0;0;4
MA;21;00600;Amarante do Maranhão;9710;850;0;152;2;779;47;0;8;13;6830;958;12;0;43;2;0;0;0;0;1;13
MA;21;00709;Anajatuba;4700;767;0;54;3;235;38;0;3;11;3101;426;15;0;20;4;0;0;0;0;0;23
MA;21;00808;Anapurus;2703;602;0;74;50;335;33;0;0;2;1229;228;26;0;23;77;0;0;0;0;0;24
MA;21;00832;Apicum-Açu;1489;250;0;19;2;154;15;0;0;12;784;243;6;0;2;0;0;0;0;0;0;2
MA;21;00873;Araguanã;1756;326;0;25;2;138;3;0;2;1;1111;120;11;0;12;1;0;0;0;0;0;4
MA;21;00907;Araioses;2200;153;0;33;2;86;9;0;0;6;1603;155;29;0;113;8;0;0;0;0;0;3
MA;21;00956;Arame;6845;493;0;130;4;492;33;0;9;11;4822;797;6;0;19;11;0;0;0;0;0;18
MA;21;01004;Arari;8090;1166;0;115;6;389;70;0;28;15;4743;1478;14;0;34;9;0;0;0;0;0;23
MA;21;01103;Axixá;2683;361;0;35;1;198;13;0;1;8;1900;139;17;0;4;0;0;0;0;0;2;4
MA;21;01202;Bacabal;48188;8263;0;1422;90;2585;428;0;377;114;26078;7753;107;0;490;152;2;2;0;0;12;313
MA;21;01251;Bacabeira;4009;1245;0;164;57;338;52;0;9;17;1484;384;109;0;52;73;0;2;0;0;0;23
MA;21;01301;Bacuri;1390;259;0;22;0;114;22;0;1;8;759;188;8;0;0;0;0;0;0;0;0;9
MA;21;01350;Bacurituba;873;51;0;11;0;39;3;0;0;0;689;71;6;0;0;0;0;1;0;0;0;2
