"NOME_CATMETROPOL";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Região Metropolitana do Alto Vale do Itajaí";243578;243594;244605;245531;247478;248555;249623;256736;266147;268327;269424;271491;273479;282303;285075;287821;290548;293252;295201;297821;300397;302920
"Região Metropolitana do Cariri";498268;506137;513852;521311;536967;545633;554230;539383;554945;560325;564478;569616;574581;586010;590209;594237;598107;601817;605518;609358;612956;616454
"Região Metropolitana do Contestado";468621;474096;479494;484577;495248;501154;507015;477135;492720;494762;500298;502758;505114;518454;521711;524938;528140;531315;532775;535756;538682;541548
"Região Metropolitana do Extremo Oeste";323147;319907;317932;315518;310463;307664;304892;325494;335749;336748;330000;330553;331065;337461;338124;338783;339433;340085;339482;339966;340444;340907
"Região Metropolitana do Médio Sertão";138326;140060;141820;143646;147477;149597;151702;137730;141703;141969;143628;144072;144437;150180;150638;151051;151440;151804;149522;150037;150318;150671
"Região Metropolitana do Planalto Norte";217172;218303;219216;220164;222155;223254;224349;222338;229726;230811;227805;228626;229415;234845;235923;236995;238055;239107;239337;240292;241228;242145
"Região Metropolitana do Rio de Janeiro";11254026;11366747;11488949;11597985;11826879;11953548;12079989;11953988;12204525;12291269;12241449;12317176;12390418;12475120;12527884;12578845;12628344;12675740;13005430;13069650;13131590;13191031
"Região Metropolitana do Sertão";143026;141755;144068;145209;147607;148933;150250;150409;154865;156089;151869;152661;153421;159753;160800;161491;162139;162746;160250;160758;161254;161739
"Região Metropolitana do Sudoeste Maranhense";610957;618315;624556;630866;644117;651447;658724;638647;657703;661921;689375;695414;701245;707979;712602;716962;721030;724804;730647;733984;737127;740346
"Região Metropolitana do Sul do Estado";33487;35374;36484;37873;41151;42406;44010;42999;44981;46122;45912;46867;47790;49646;50518;51376;52219;53045;55395;56519;57623;58706
"Região Metropolitana do São Francisco";117410;118246;118969;119693;121210;122051;122884;121728;125298;125997;124552;125103;125498;130608;131126;131611;132067;132497;130476;130829;131171;131504
"Região Metropolitana do Vale do Aço";399580;406877;412351;418277;430721;437607;444440;438059;449340;454053;451670;455671;459537;477669;481846;485854;489668;493288;493773;497770;501636;505358
"Região Metropolitana do Vale do Itajaí";558165;570615;580562;590958;612783;624858;636846;638005;657029;666602;689731;699843;709614;742959;756707;770329;783854;797263;809072;822412;835518;848362
"Região Metropolitana do Vale do Mamanguape";102038;103119;103856;104699;106472;107452;108423;109420;112445;113415;113446;114325;114818;118017;119049;120042;120994;121909;120882;121631;122385;123123
"Região Metropolitana do Vale do Paraíba";167322;166741;167453;168080;169395;170124;170846;174120;179249;180440;167700;167871;168032;174460;174789;175117;175318;175509;172928;173077;173187;173295
"Região Metropolitana do Vale do Paraíba e Litoral Norte";1992110;2031206;2063758;2097009;2166813;2205448;2243787;2155485;2235894;2258956;2264594;2285528;2305758;2406735;2430392;2453387;2475879;2497857;2528345;2552610;2576250;2599218
"Região Metropolitana do Vale do Piancó";140700;140110;139950;139719;139232;138962;138697;141338;145340;145714;140761;140792;140816;143044;143144;143236;143328;143415;143373;143251;143227;143204
"Região Metropolitana do Vale do Rio Cuiabá";747792;764456;777047;790630;819137;834910;850560;811627;839052;847680;857103;865496;873612;887333;895673;903794;911617;919325;943838;952513;960540;972108
"Área de Expansão Metropolitana";174405;173826;173961;174003;174088;174134;174180;171154;175988;176876;172302;172185;172071;181896;182003;182102;183204;183298;175488;175336;175193;175060
